Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
08/07/2015,5375,5375,5375,5375
09/07/2015,5576,5576,5576,5576
10/07/2015,5561.5,5561.5,5561.5,5561.5
13/07/2015,5605.5,5605.5,5605.5,5605.5
14/07/2015,5502.5,5502.5,5502.5,5502.5
15/07/2015,5597,5597,5597,5597
16/07/2015,5530,5530,5530,5530
17/07/2015,5465,5465,5465,5465
20/07/2015,5425,5425,5425,5425
21/07/2015,5475.5,5475.5,5475.5,5475.5
22/07/2015,5350.5,5350.5,5350.5,5350.5
23/07/2015,5340,5340,5340,5340
24/07/2015,5224.5,5224.5,5224.5,5224.5
27/07/2015,5190,5190,5190,5190
28/07/2015,5239.5,5239.5,5239.5,5239.5
29/07/2015,5302,5302,5302,5302
30/07/2015,5241,5241,5241,5241
31/07/2015,5220,5220,5220,5220
03/08/2015,5176.5,5176.5,5176.5,5176.5
04/08/2015,5215.5,5215.5,5215.5,5215.5
05/08/2015,5171.5,5171.5,5171.5,5171.5
06/08/2015,5165,5165,5165,5165
07/08/2015,5135.5,5135.5,5135.5,5135.5
10/08/2015,5150,5150,5150,5150
11/08/2015,5140,5140,5140,5140
12/08/2015,5103,5103,5103,5103
13/08/2015,5148,5148,5148,5148
14/08/2015,5156,5156,5156,5156
17/08/2015,5101,5101,5101,5101
18/08/2015,5000.5,5000.5,5000.5,5000.5
19/08/2015,5006.5,5006.5,5006.5,5006.5
20/08/2015,5060.5,5060.5,5060.5,5060.5
21/08/2015,5046,5046,5046,5046
24/08/2015,4888,4888,4888,4888
25/08/2015,5032,5032,5032,5032
26/08/2015,4959,4959,4959,4959
27/08/2015,5029,5029,5029,5029
28/08/2015,5095,5095,5095,5095
01/09/2015,5095,5095,5095,5095
02/09/2015,5090.5,5090.5,5090.5,5090.5
03/09/2015,5250,5250,5250,5250
04/09/2015,5155.5,5155.5,5155.5,5155.5
07/09/2015,5176,5176,5176,5176
08/09/2015,5280,5280,5280,5280
09/09/2015,5366,5366,5366,5366
10/09/2015,5400,5400,5400,5400
11/09/2015,5352,5352,5352,5352
14/09/2015,5324,5324,5324,5324
15/09/2015,5290,5290,5290,5290
16/09/2015,5350,5350,5350,5350
