Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
26/06/2015,107.96,107.96,106.99,107.62,226629
29/06/2015,104.85,106.12,103.39,104.32,605107
30/06/2015,104.32,105.1,102.03,103.44,742876
01/07/2015,103.88,104.32,101.94,101.94,930685
02/07/2015,102.28,103.69,102.03,102.52,720745
03/07/2015,102.91,103.2,101.5,102.72,512476
06/07/2015,100.77,101.16,99.029,100.77,396041
07/07/2015,100.92,101.11,96.114,96.153,1152585
08/07/2015,95.143,96.979,93.804,96.6,1572392
09/07/2015,98.347,99.8,97.57,99.6,846024
10/07/2015,100.77,101.75,100.49,100.49,825088
13/07/2015,101.46,101.65,99.317,99.52,618468
14/07/2015,99.75,99.8,97.085,98.056,669729
15/07/2015,98.732,99.56,97.959,99.128,553556
16/07/2015,100.14,101.46,99.9,101.46,505490
17/07/2015,101.7,101.89,98.732,98.93,598895
20/07/2015,99.128,99.218,96.406,96.406,597103
21/07/2015,96.939,97.619,94.978,96.114,523520
22/07/2015,95.503,95.503,87.667,87.667,2063620
23/07/2015,88.347,89.93,86.406,86.406,1518401
24/07/2015,85.435,89.221,82.056,88.056,2220463
27/07/2015,87.376,98.347,85.823,95.143,3513385
28/07/2015,95.056,98.056,93.201,94.27,1987806
29/07/2015,95.406,95.609,90.609,90.639,1082994
30/07/2015,91.697,92.609,89.803,91.259,1005856
31/07/2015,91.259,92.658,90.309,92.231,1247162
03/08/2015,91.259,92.134,91.066,91.687,499746
04/08/2015,91.259,91.735,88.988,90.502,610940
05/08/2015,90.58,92.716,89.57,92.716,764532
06/08/2015,92.231,92.231,87.066,87.667,857152
07/08/2015,88.037,90.289,87.376,89.852,511174
10/08/2015,90.678,92.231,89.512,91.988,659361
11/08/2015,91.648,93.978,90.289,91.551,766932
12/08/2015,90.435,90.435,87.91,89.775,1129899
13/08/2015,90.25,90.678,88.463,88.736,670331
14/08/2015,92.221,92.221,88.202,88.736,601623
17/08/2015,88.833,88.92,87.473,87.561,425483
18/08/2015,87.386,87.561,83.338,84.075,1043773
19/08/2015,84.454,84.454,81.095,81.552,1368278
20/08/2015,81.842,83.056,80.58,82.814,1345261
21/08/2015,81.473,82.028,80.552,81.358,1126299
24/08/2015,77.668,77.668,67.183,70.979,2441024
25/08/2015,69.901,75.727,69.61,72.465,1624136
26/08/2015,72.813,73.202,69.231,69.231,1334235
27/08/2015,71.192,75.727,71.192,75.697,1965532
28/08/2015,77.183,77.523,74.969,77.183,1303098
31/08/2015,77.183,77.231,74.172,76.241,801561
01/09/2015,75.182,75.182,72.716,73.716,599307
02/09/2015,74.697,76.561,73.445,74.085,1165144
03/09/2015,75.241,78.92,75.241,78.153,1241872
04/09/2015,77.571,77.571,74.367,74.367,840067
07/09/2015,75.717,76.901,74.901,75.727,797815
08/09/2015,75.969,78.833,75.891,78.104,1179162
09/09/2015,80.483,81.959,79.513,80.969,1370450
10/09/2015,80.862,82.998,79.843,82.998,1299179
11/09/2015,83.008,83.251,81.804,82.406,601477
14/09/2015,81.066,84.367,79.804,81.988,861831
15/09/2015,81.794,83.154,81.066,83.154,838923
16/09/2015,83.832,85.241,83.638,85.231,1041613
17/09/2015,85.435,87.852,85.241,87.376,1108953
18/09/2015,87.716,87.716,83.066,84.221,1434768
21/09/2015,84.318,84.804,82.619,83.154,634277
22/09/2015,83.299,83.299,78.668,78.833,1816208
23/09/2015,77.668,79.989,76.717,77.668,1094573
24/09/2015,78.104,79.61,77.474,78.998,891140
25/09/2015,79.61,79.959,78.551,78.784,573344
28/09/2015,78.736,78.736,74.085,74.172,901946
29/09/2015,72.716,76.057,70.29,75.727,1397096
30/09/2015,77.134,79.6,76.736,79.561,1072238
01/10/2015,80.969,82.182,78.027,78.95,957479
02/10/2015,78.989,79.493,75.843,76.474,1028989
05/10/2015,78.163,81.745,77.911,81.338,1179377
06/10/2015,80.872,86.503,79.513,84.658,1706744
07/10/2015,87.134,89.706,86.357,88.056,2909663
08/10/2015,86.891,89.415,85.998,88.347,1650333
09/10/2015,90.289,92.755,90.289,92.716,1931946
12/10/2015,93.241,94.173,90.115,90.454,1186698
13/10/2015,89.92,91.609,88.842,91.599,611138
14/10/2015,91.259,91.697,89.124,90.92,810288
15/10/2015,91.697,92.707,91.648,92.522,587190
16/10/2015,92.231,93.104,90.775,91.211,892554
19/10/2015,89.512,92.037,87.959,88.542,792275
20/10/2015,87.881,90.143,86.047,89.512,724770
21/10/2015,90.289,90.939,88.542,88.91,671186
22/10/2015,89.882,92.93,89.366,92.911,885501
23/10/2015,93.017,97.085,93.017,95.337,1949163
26/10/2015,97.076,97.085,93.007,93.25,858500
27/10/2015,93.978,94.173,91.357,91.357,1032601
28/10/2015,90.299,92.707,89.124,91.474,674911
29/10/2015,91.251,91.251,87.183,88.076,1088823
30/10/2015,88.347,88.833,86.406,87.24,1197318
02/11/2015,87.619,90.017,87.28,90.017,773005
03/11/2015,90.289,90.58,89.192,89.609,570695
04/11/2015,90.289,93.163,90.289,91.056,1092786
05/11/2015,90.338,90.599,88.076,88.076,715462
06/11/2015,88.416,88.726,86.134,86.891,1134143
09/11/2015,86.901,88.124,86.531,86.531,491512
10/11/2015,86.6,86.813,83.105,84.124,804311
12/11/2015,83.494,84.056,78.853,78.853,950523
13/11/2015,74.852,77.668,74.775,75.057,1398542
16/11/2015,75.047,75.494,70.969,70.969,1716338
17/11/2015,70.969,76.697,70.969,75.862,1359469
18/11/2015,76.503,76.503,71.6,75.522,1224420
19/11/2015,76.211,76.387,73.707,73.979,851823
20/11/2015,75.008,75.61,74.076,75.115,982968
23/11/2015,71.843,72.804,69.61,71.989,1392984
24/11/2015,72.143,73.542,69.901,71.299,1503074
25/11/2015,72.474,74.561,70.387,70.775,1403291
26/11/2015,72.328,73.289,71.571,72.678,788839
27/11/2015,72.649,72.649,70.707,71.445,845130
30/11/2015,70.872,71.532,69.833,70.193,1503535
01/12/2015,71.357,72.018,70.959,71.299,599926
02/12/2015,71.552,71.687,66.018,66.164,2109542
03/12/2015,66.261,67.085,65.241,66.212,1018439
04/12/2015,66.212,66.494,61.163,64.562,1817264
07/12/2015,65.047,65.872,60.436,61.106,957302
08/12/2015,60.445,61.649,57.086,57.377,1978378
09/12/2015,57.494,59.455,55.193,57.63,2033914
10/12/2015,58.251,59.416,57.668,58.251,767078
11/12/2015,61.047,61.552,57.862,59.134,1229818
14/12/2015,60.076,60.076,58.231,58.649,998813
15/12/2015,58.727,59.125,58.095,58.542,1086489
16/12/2015,58.785,60.193,58.755,59.221,824253
17/12/2015,59.707,59.998,57.28,57.348,1708898
18/12/2015,57.765,59.028,57.425,58.62,1901505
21/12/2015,58.542,60.29,58.348,59.727,916146
22/12/2015,60.426,61.309,59.921,60.338,863242
23/12/2015,61.144,61.746,60.678,60.97,687863
28/12/2015,60.697,61.26,60.193,60.678,689073
29/12/2015,61.309,63.659,61.28,63.105,960965
30/12/2015,63.562,63.562,61.639,61.639,519824
04/01/2016,58.251,58.785,57.571,57.775,813715
05/01/2016,58.591,59.318,58.057,58.455,722083
07/01/2016,56.115,56.698,54.377,54.707,1431252
08/01/2016,55.629,55.902,52.64,53.009,987418
11/01/2016,50.921,52.523,50.008,51.455,1072812
12/01/2016,51.464,53.63,50.97,52.93,887317
